user_id,signup_feedback,sentiment_label
1090,I signed up to manage my spending,neutral
1091,The app was very easy to use,positive
1092,I am trying this app for the first time,neutral
1093,The verification process is confusing,negative
1094,I had trouble linking my bank,negative
1095,I am exploring different payment apps,neutral
1096,I signed up to manage my spending,neutral
1097,It took too long to verify my account,negative
1098,Fast and simple onboarding,positive
1099,The instructions were unclear,negative
1100,Fast and simple onboarding,positive
1101,I had trouble linking my bank,negative
1102,I want an easier way to transfer money,neutral
1103,I want an easier way to transfer money,neutral
1104,Verification was straightforward,positive
1105,I am trying this app for the first time,neutral
1106,App froze during document upload,negative
1107,The instructions were unclear,negative
1108,I signed up to manage my spending,neutral
1109,I want to send money internationally,neutral
1110,The app was very easy to use,positive
1111,I am exploring different payment apps,neutral
1112,I want an easier way to transfer money,neutral
1113,I am exploring different payment apps,neutral
1114,I signed up to manage my spending,neutral
1115,The signup process was easy,positive
1116,App froze during document upload,negative
1117,Fast and simple onboarding,positive
1118,Fast and simple onboarding,positive
1119,I signed up to manage my spending,neutral
1120,I am trying this app for the first time,neutral
1121,I signed up to manage my spending,neutral
1122,I signed up to manage my spending,neutral
1123,App froze during document upload,negative
1124,I am trying this app for the first time,neutral
1125,It took too long to verify my account,negative
1126,I had trouble linking my bank,negative
1127,Verification was straightforward,positive
1128,I want an easier way to transfer money,neutral
1129,The signup process was easy,positive
1130,Everything worked smoothly,positive
1131,I want an easier way to transfer money,neutral
1132,The instructions were unclear,negative
1133,I want to send money internationally,neutral
1134,App froze during document upload,negative
1135,Verification was straightforward,positive
1136,App froze during document upload,negative
1137,I am exploring different payment apps,neutral
1138,I am exploring different payment apps,neutral
1139,The signup process was easy,positive
1140,The instructions were unclear,negative
1141,I want an easier way to transfer money,neutral
1142,Fast and simple onboarding,positive
1143,I want an easier way to transfer money,neutral
1144,Everything worked smoothly,positive
1145,Verification was straightforward,positive
1146,I had trouble linking my bank,negative
1147,I am trying this app for the first time,neutral
1148,I want an easier way to transfer money,neutral
1149,I am exploring different payment apps,neutral
1150,I want to send money internationally,neutral
1151,Fast and simple onboarding,positive
1152,I had trouble linking my bank,negative
1153,I had trouble linking my bank,negative
1154,The signup process was easy,positive
1155,The instructions were unclear,negative
1156,The verification process is confusing,negative
1157,I am exploring different payment apps,neutral
1158,The signup process was easy,positive
1159,Everything worked smoothly,positive
1160,I want to send money internationally,neutral
1161,Verification was straightforward,positive
1162,I want an easier way to transfer money,neutral
1163,I want to send money internationally,neutral
1164,I had trouble linking my bank,negative
1165,I am trying this app for the first time,neutral
1166,Everything worked smoothly,positive
1167,I signed up to manage my spending,neutral
1168,It took too long to verify my account,negative
1169,Everything worked smoothly,positive
1170,I want an easier way to transfer money,neutral
1171,I am exploring different payment apps,neutral
1172,Fast and simple onboarding,positive
1173,I am exploring different payment apps,neutral
1174,I want an easier way to transfer money,neutral
1175,I am exploring different payment apps,neutral
1176,Verification was straightforward,positive
1177,I want an easier way to transfer money,neutral
1178,I am trying this app for the first time,neutral
1179,I signed up to manage my spending,neutral
1180,I want an easier way to transfer money,neutral
1181,I had trouble linking my bank,negative
1182,The app was very easy to use,positive
1183,I am trying this app for the first time,neutral
1184,I signed up to manage my spending,neutral
1185,I want to send money internationally,neutral
1186,It took too long to verify my account,negative
1187,I want an easier way to transfer money,neutral
1188,It took too long to verify my account,negative
1189,I signed up to manage my spending,neutral
1190,The app was very easy to use,positive
1191,The app was very easy to use,positive
1192,Everything worked smoothly,positive
1193,I want to send money internationally,neutral
1194,The signup process was easy,positive
1195,The instructions were unclear,negative
1196,I want an easier way to transfer money,neutral
1197,I had trouble linking my bank,negative
1198,I am trying this app for the first time,neutral
1199,The app was very easy to use,positive
1200,The signup process was easy,positive
1201,Everything worked smoothly,positive
1202,I want to send money internationally,neutral
1203,I want an easier way to transfer money,neutral
1204,Everything worked smoothly,positive
1205,The signup process was easy,positive
1206,I want to send money internationally,neutral
1207,Everything worked smoothly,positive
1208,I had trouble linking my bank,negative
1209,The app was very easy to use,positive
1210,Verification was straightforward,positive
1211,I am exploring different payment apps,neutral
1212,I want an easier way to transfer money,neutral
1213,I want an easier way to transfer money,neutral
1214,Fast and simple onboarding,positive
1215,The instructions were unclear,negative
1216,The instructions were unclear,negative
1217,I am exploring different payment apps,neutral
1218,The app was very easy to use,positive
1219,I am exploring different payment apps,neutral
1220,I signed up to manage my spending,neutral
1221,The app was very easy to use,positive
1222,App froze during document upload,negative
1223,Everything worked smoothly,positive
1224,I signed up to manage my spending,neutral
1225,I want to send money internationally,neutral
1226,I signed up to manage my spending,neutral
1227,I signed up to manage my spending,neutral
1228,I am exploring different payment apps,neutral
1229,I want to send money internationally,neutral
1230,I signed up to manage my spending,neutral
1231,The signup process was easy,positive
1232,I signed up to manage my spending,neutral
1233,I want to send money internationally,neutral
1234,Everything worked smoothly,positive
1235,I want an easier way to transfer money,neutral
1236,The app was very easy to use,positive
1237,The app was very easy to use,positive
1238,I had trouble linking my bank,negative
1239,I am exploring different payment apps,neutral
1240,I am exploring different payment apps,neutral
1241,I signed up to manage my spending,neutral
1242,It took too long to verify my account,negative
1243,The instructions were unclear,negative
1244,I am exploring different payment apps,neutral
1245,I want an easier way to transfer money,neutral
1246,I signed up to manage my spending,neutral
1247,I am exploring different payment apps,neutral
1248,I want an easier way to transfer money,neutral
1249,I signed up to manage my spending,neutral
1250,The signup process was easy,positive
1251,I want an easier way to transfer money,neutral
1252,I want to send money internationally,neutral
1253,Everything worked smoothly,positive
1254,The app was very easy to use,positive
1255,It took too long to verify my account,negative
1256,I signed up to manage my spending,neutral
1257,I am exploring different payment apps,neutral
1258,I am exploring different payment apps,neutral
1259,The app was very easy to use,positive
1260,App froze during document upload,negative
1261,I want to send money internationally,neutral
1262,It took too long to verify my account,negative
1263,I signed up to manage my spending,neutral
1264,The verification process is confusing,negative
1265,I signed up to manage my spending,neutral
1266,I am trying this app for the first time,neutral
1267,I am exploring different payment apps,neutral
1268,I am trying this app for the first time,neutral
1269,I signed up to manage my spending,neutral
1270,I want an easier way to transfer money,neutral
1271,It took too long to verify my account,negative
1272,Fast and simple onboarding,positive
1273,The app was very easy to use,positive
1274,I am trying this app for the first time,neutral
1275,I had trouble linking my bank,negative
1276,I want to send money internationally,neutral
1277,I am trying this app for the first time,neutral
1278,I want an easier way to transfer money,neutral
1279,I want to send money internationally,neutral
1280,I want to send money internationally,neutral
1281,The verification process is confusing,negative
1282,The verification process is confusing,negative
1283,The instructions were unclear,negative
1284,I am exploring different payment apps,neutral
1285,I had trouble linking my bank,negative
1286,I want an easier way to transfer money,neutral
1287,Fast and simple onboarding,positive
1288,I want to send money internationally,neutral
1289,I had trouble linking my bank,negative
1290,I signed up to manage my spending,neutral
1291,Fast and simple onboarding,positive
1292,App froze during document upload,negative
1293,I am trying this app for the first time,neutral
1294,Everything worked smoothly,positive
1295,The app was very easy to use,positive
1296,App froze during document upload,negative
1297,App froze during document upload,negative
1298,I am trying this app for the first time,neutral
1299,The app was very easy to use,positive
1300,I am trying this app for the first time,neutral
1301,I am trying this app for the first time,neutral
1302,I want to send money internationally,neutral
1303,The instructions were unclear,negative
1304,App froze during document upload,negative
1305,App froze during document upload,negative
1306,I am trying this app for the first time,neutral
1307,I am trying this app for the first time,neutral
1308,I want an easier way to transfer money,neutral
1309,The verification process is confusing,negative
1310,Verification was straightforward,positive
1311,The app was very easy to use,positive
1312,The verification process is confusing,negative
1313,I had trouble linking my bank,negative
1314,I am trying this app for the first time,neutral
1315,I signed up to manage my spending,neutral
1316,I am exploring different payment apps,neutral
1317,Verification was straightforward,positive
1318,It took too long to verify my account,negative
1319,I want to send money internationally,neutral
1320,Everything worked smoothly,positive
1321,I want to send money internationally,neutral
1322,I am exploring different payment apps,neutral
1323,I am trying this app for the first time,neutral
1324,I am trying this app for the first time,neutral
1325,Everything worked smoothly,positive
1326,I signed up to manage my spending,neutral
1327,I had trouble linking my bank,negative
1328,I want an easier way to transfer money,neutral
1329,I want an easier way to transfer money,neutral
1330,Verification was straightforward,positive
1331,Fast and simple onboarding,positive
1332,The verification process is confusing,negative
1333,Everything worked smoothly,positive
1334,The app was very easy to use,positive
1335,The verification process is confusing,negative
1336,Verification was straightforward,positive
1337,It took too long to verify my account,negative
1338,I am exploring different payment apps,neutral
1339,I had trouble linking my bank,negative
1340,Verification was straightforward,positive
1341,I am trying this app for the first time,neutral
1342,I want an easier way to transfer money,neutral
1343,I want to send money internationally,neutral
1344,I want an easier way to transfer money,neutral
1345,Verification was straightforward,positive
1346,Everything worked smoothly,positive
1347,Fast and simple onboarding,positive
1348,The instructions were unclear,negative
1349,Everything worked smoothly,positive
1350,App froze during document upload,negative
1351,I want an easier way to transfer money,neutral
1352,Fast and simple onboarding,positive
1353,Verification was straightforward,positive
1354,Verification was straightforward,positive
1355,I am trying this app for the first time,neutral
1356,The app was very easy to use,positive
1357,I want to send money internationally,neutral
1358,The app was very easy to use,positive
1359,Verification was straightforward,positive
1360,I want an easier way to transfer money,neutral
1361,I am exploring different payment apps,neutral
1362,Verification was straightforward,positive
1363,The signup process was easy,positive
1364,Everything worked smoothly,positive
1365,I signed up to manage my spending,neutral
1366,I am trying this app for the first time,neutral
1367,The signup process was easy,positive
1368,The signup process was easy,positive
1369,I want to send money internationally,neutral
1370,I am exploring different payment apps,neutral
1371,I am trying this app for the first time,neutral
1372,I am exploring different payment apps,neutral
1373,I am exploring different payment apps,neutral
1374,I want an easier way to transfer money,neutral
1375,App froze during document upload,negative
1376,I want an easier way to transfer money,neutral
1377,The verification process is confusing,negative
1378,Everything worked smoothly,positive
1379,Everything worked smoothly,positive
1380,Fast and simple onboarding,positive
1381,I want an easier way to transfer money,neutral
1382,The verification process is confusing,negative
1383,I want to send money internationally,neutral
1384,I am trying this app for the first time,neutral
1385,I want an easier way to transfer money,neutral
1386,Fast and simple onboarding,positive
1387,App froze during document upload,negative
1388,Fast and simple onboarding,positive
1389,I want to send money internationally,neutral
1390,The instructions were unclear,negative
1391,I want to send money internationally,neutral
1392,The signup process was easy,positive
1393,I want to send money internationally,neutral
1394,The app was very easy to use,positive
1395,The app was very easy to use,positive
1396,I signed up to manage my spending,neutral
1397,I want to send money internationally,neutral
1398,I want an easier way to transfer money,neutral
1399,App froze during document upload,negative
1400,The instructions were unclear,negative
1401,Fast and simple onboarding,positive
1402,The app was very easy to use,positive
1403,Fast and simple onboarding,positive
1404,I am exploring different payment apps,neutral
1405,I signed up to manage my spending,neutral
1406,The signup process was easy,positive
1407,I am exploring different payment apps,neutral
1408,I want to send money internationally,neutral
1409,App froze during document upload,negative
1410,The app was very easy to use,positive
1411,Verification was straightforward,positive
1412,It took too long to verify my account,negative
1413,App froze during document upload,negative
1414,App froze during document upload,negative
1415,The signup process was easy,positive
1416,It took too long to verify my account,negative
1417,I want an easier way to transfer money,neutral
1418,The app was very easy to use,positive
1419,I am exploring different payment apps,neutral
1420,I want to send money internationally,neutral
1421,Verification was straightforward,positive
1422,I want an easier way to transfer money,neutral
1423,I had trouble linking my bank,negative
1424,I want to send money internationally,neutral
1425,I want an easier way to transfer money,neutral
1426,App froze during document upload,negative
1427,I want to send money internationally,neutral
1428,Verification was straightforward,positive
1429,Everything worked smoothly,positive
1430,The instructions were unclear,negative
1431,I want to send money internationally,neutral
1432,I want an easier way to transfer money,neutral
1433,App froze during document upload,negative
1434,I want an easier way to transfer money,neutral
1435,I want to send money internationally,neutral
1436,The signup process was easy,positive
1437,Everything worked smoothly,positive
1438,I am trying this app for the first time,neutral
1439,It took too long to verify my account,negative
1440,I am trying this app for the first time,neutral
1441,Verification was straightforward,positive
1442,The signup process was easy,positive
1443,Everything worked smoothly,positive
1444,I am trying this app for the first time,neutral
1445,I signed up to manage my spending,neutral
1446,I want to send money internationally,neutral
1447,I want to send money internationally,neutral
1448,I signed up to manage my spending,neutral
1449,I am trying this app for the first time,neutral
1450,I had trouble linking my bank,negative
1451,Everything worked smoothly,positive
1452,App froze during document upload,negative
1453,I am trying this app for the first time,neutral
1454,I had trouble linking my bank,negative
1455,Verification was straightforward,positive
1456,The verification process is confusing,negative
1457,I signed up to manage my spending,neutral
1458,The verification process is confusing,negative
1459,I want an easier way to transfer money,neutral
1460,I had trouble linking my bank,negative
1461,The app was very easy to use,positive
1462,I want to send money internationally,neutral
1463,I signed up to manage my spending,neutral
1464,Everything worked smoothly,positive
1465,The verification process is confusing,negative
1466,I am trying this app for the first time,neutral
1467,I want to send money internationally,neutral
1468,Everything worked smoothly,positive
1469,I am trying this app for the first time,neutral
1470,I want an easier way to transfer money,neutral
1471,The instructions were unclear,negative
1472,App froze during document upload,negative
1473,I want to send money internationally,neutral
1474,I signed up to manage my spending,neutral
1475,Verification was straightforward,positive
1476,I want an easier way to transfer money,neutral
1477,Fast and simple onboarding,positive
1478,The app was very easy to use,positive
1479,App froze during document upload,negative
1480,I signed up to manage my spending,neutral
1481,Fast and simple onboarding,positive
1482,I am trying this app for the first time,neutral
1483,I am trying this app for the first time,neutral
1484,The instructions were unclear,negative
1485,I signed up to manage my spending,neutral
1486,I want an easier way to transfer money,neutral
1487,The verification process is confusing,negative
1488,Verification was straightforward,positive
1489,Verification was straightforward,positive
1490,I want an easier way to transfer money,neutral
1491,I signed up to manage my spending,neutral
1492,I am trying this app for the first time,neutral
1493,I am trying this app for the first time,neutral
1494,I want to send money internationally,neutral
1495,I am exploring different payment apps,neutral
1496,I am exploring different payment apps,neutral
1497,I am exploring different payment apps,neutral
1498,The app was very easy to use,positive
1499,I want an easier way to transfer money,neutral
1500,I am exploring different payment apps,neutral
1501,Fast and simple onboarding,positive
1502,App froze during document upload,negative
1503,Verification was straightforward,positive
1504,I want an easier way to transfer money,neutral
1505,I am trying this app for the first time,neutral
1506,I want to send money internationally,neutral
1507,I signed up to manage my spending,neutral
1508,I had trouble linking my bank,negative
1509,The instructions were unclear,negative
1510,I want an easier way to transfer money,neutral
1511,The app was very easy to use,positive
1512,Fast and simple onboarding,positive
1513,I want to send money internationally,neutral
1514,The signup process was easy,positive
1515,The app was very easy to use,positive
1516,I am exploring different payment apps,neutral
1517,I am trying this app for the first time,neutral
1518,I signed up to manage my spending,neutral
1519,I am exploring different payment apps,neutral
1520,App froze during document upload,negative
1521,I am trying this app for the first time,neutral
1522,I want an easier way to transfer money,neutral
1523,I signed up to manage my spending,neutral
1524,I am exploring different payment apps,neutral
1525,I signed up to manage my spending,neutral
1526,The app was very easy to use,positive
1527,Fast and simple onboarding,positive
1528,The signup process was easy,positive
1529,I signed up to manage my spending,neutral
1530,I signed up to manage my spending,neutral
1531,The app was very easy to use,positive
1532,It took too long to verify my account,negative
1533,I had trouble linking my bank,negative
1534,It took too long to verify my account,negative
1535,The signup process was easy,positive
1536,I want an easier way to transfer money,neutral
1537,The app was very easy to use,positive
1538,App froze during document upload,negative
1539,I am exploring different payment apps,neutral
1540,I am exploring different payment apps,neutral
1541,It took too long to verify my account,negative
1542,I want an easier way to transfer money,neutral
1543,I want an easier way to transfer money,neutral
1544,I am trying this app for the first time,neutral
1545,The verification process is confusing,negative
1546,I am exploring different payment apps,neutral
1547,The instructions were unclear,negative
1548,I want an easier way to transfer money,neutral
1549,App froze during document upload,negative
1550,I want an easier way to transfer money,neutral
1551,I am exploring different payment apps,neutral
1552,I am exploring different payment apps,neutral
1553,I am exploring different payment apps,neutral
1554,I am exploring different payment apps,neutral
1555,Verification was straightforward,positive
1556,I had trouble linking my bank,negative
1557,Verification was straightforward,positive
1558,I want an easier way to transfer money,neutral
1559,I am exploring different payment apps,neutral
1560,The app was very easy to use,positive
1561,Verification was straightforward,positive
1562,I am exploring different payment apps,neutral
1563,App froze during document upload,negative
1564,I am trying this app for the first time,neutral
1565,I had trouble linking my bank,negative
1566,Verification was straightforward,positive
1567,I want to send money internationally,neutral
1568,I want to send money internationally,neutral
1569,I want an easier way to transfer money,neutral
1570,Everything worked smoothly,positive
1571,I am exploring different payment apps,neutral
1572,Fast and simple onboarding,positive
1573,I want an easier way to transfer money,neutral
1574,I signed up to manage my spending,neutral
1575,Fast and simple onboarding,positive
1576,The app was very easy to use,positive
1577,Everything worked smoothly,positive
1578,I signed up to manage my spending,neutral
1579,I signed up to manage my spending,neutral
1580,I want to send money internationally,neutral
1581,I had trouble linking my bank,negative
1582,I am exploring different payment apps,neutral
1583,I signed up to manage my spending,neutral
1584,The verification process is confusing,negative
1585,I want an easier way to transfer money,neutral
1586,I signed up to manage my spending,neutral
1587,App froze during document upload,negative
1588,The instructions were unclear,negative
1589,I want to send money internationally,neutral
1590,I am trying this app for the first time,neutral
1591,I signed up to manage my spending,neutral
1592,I am exploring different payment apps,neutral
1593,I want to send money internationally,neutral
1594,I want to send money internationally,neutral
1595,Verification was straightforward,positive
1596,App froze during document upload,negative
1597,I signed up to manage my spending,neutral
1598,I want an easier way to transfer money,neutral
1599,I want an easier way to transfer money,neutral
1600,I am trying this app for the first time,neutral
1601,I want an easier way to transfer money,neutral
1602,I am exploring different payment apps,neutral
1603,I had trouble linking my bank,negative
1604,I am trying this app for the first time,neutral
1605,App froze during document upload,negative
1606,I am exploring different payment apps,neutral
1607,The verification process is confusing,negative
1608,App froze during document upload,negative
1609,I want to send money internationally,neutral
1610,I signed up to manage my spending,neutral
1611,I am exploring different payment apps,neutral
1612,I am exploring different payment apps,neutral
1613,Fast and simple onboarding,positive
1614,I am trying this app for the first time,neutral
1615,I had trouble linking my bank,negative
1616,The signup process was easy,positive
1617,I signed up to manage my spending,neutral
1618,I am trying this app for the first time,neutral
1619,I am trying this app for the first time,neutral
1620,The signup process was easy,positive
1621,Everything worked smoothly,positive
1622,I signed up to manage my spending,neutral
1623,Fast and simple onboarding,positive
1624,I am exploring different payment apps,neutral
1625,I am exploring different payment apps,neutral
1626,I want to send money internationally,neutral
1627,Verification was straightforward,positive
1628,App froze during document upload,negative
1629,I want to send money internationally,neutral
1630,The app was very easy to use,positive
1631,I am exploring different payment apps,neutral
1632,The verification process is confusing,negative
1633,I want to send money internationally,neutral
1634,I signed up to manage my spending,neutral
1635,I am trying this app for the first time,neutral
1636,I signed up to manage my spending,neutral
1637,Verification was straightforward,positive
1638,Everything worked smoothly,positive
1639,I am exploring different payment apps,neutral
1640,The signup process was easy,positive
1641,I want an easier way to transfer money,neutral
1642,The signup process was easy,positive
1643,I want to send money internationally,neutral
1644,I had trouble linking my bank,negative
1645,I signed up to manage my spending,neutral
1646,I want to send money internationally,neutral
1647,The verification process is confusing,negative
1648,The app was very easy to use,positive
1649,I had trouble linking my bank,negative
1650,The signup process was easy,positive
1651,I am trying this app for the first time,neutral
1652,Fast and simple onboarding,positive
1653,I had trouble linking my bank,negative
1654,Fast and simple onboarding,positive
1655,I am exploring different payment apps,neutral
1656,Everything worked smoothly,positive
1657,The instructions were unclear,negative
1658,I want an easier way to transfer money,neutral
1659,I am exploring different payment apps,neutral
1660,Verification was straightforward,positive
1661,I want to send money internationally,neutral
1662,It took too long to verify my account,negative
1663,I am trying this app for the first time,neutral
1664,The instructions were unclear,negative
1665,I signed up to manage my spending,neutral
1666,I am exploring different payment apps,neutral
1667,Verification was straightforward,positive
1668,Everything worked smoothly,positive
1669,The instructions were unclear,negative
1670,The signup process was easy,positive
1671,Verification was straightforward,positive
1672,I am trying this app for the first time,neutral
1673,I signed up to manage my spending,neutral
1674,I signed up to manage my spending,neutral
1675,I had trouble linking my bank,negative
1676,I signed up to manage my spending,neutral
1677,The instructions were unclear,negative
1678,The app was very easy to use,positive
1679,Everything worked smoothly,positive
1680,The instructions were unclear,negative
1681,I am trying this app for the first time,neutral
1682,Everything worked smoothly,positive
1683,I am trying this app for the first time,neutral
1684,The signup process was easy,positive
1685,I want to send money internationally,neutral
1686,I want an easier way to transfer money,neutral
1687,I signed up to manage my spending,neutral
1688,I want to send money internationally,neutral
1689,Everything worked smoothly,positive
1690,I want an easier way to transfer money,neutral
1691,I want to send money internationally,neutral
1692,The signup process was easy,positive
1693,I signed up to manage my spending,neutral
1694,It took too long to verify my account,negative
1695,App froze during document upload,negative
1696,App froze during document upload,negative
1697,I want to send money internationally,neutral
1698,I am exploring different payment apps,neutral
1699,It took too long to verify my account,negative
1700,I signed up to manage my spending,neutral
1701,I am exploring different payment apps,neutral
1702,I had trouble linking my bank,negative
1703,Verification was straightforward,positive
1704,I am trying this app for the first time,neutral
1705,I had trouble linking my bank,negative
1706,I am exploring different payment apps,neutral
1707,I am exploring different payment apps,neutral
1708,I signed up to manage my spending,neutral
1709,The instructions were unclear,negative
1710,I am trying this app for the first time,neutral
1711,I want to send money internationally,neutral
1712,I had trouble linking my bank,negative
1713,I signed up to manage my spending,neutral
1714,I am trying this app for the first time,neutral
1715,It took too long to verify my account,negative
1716,I had trouble linking my bank,negative
1717,I am exploring different payment apps,neutral
1718,I am trying this app for the first time,neutral
1719,The instructions were unclear,negative
1720,I signed up to manage my spending,neutral
1721,The verification process is confusing,negative
1722,The signup process was easy,positive
1723,I am exploring different payment apps,neutral
1724,I want to send money internationally,neutral
1725,I am exploring different payment apps,neutral
1726,I am exploring different payment apps,neutral
1727,I want an easier way to transfer money,neutral
1728,The verification process is confusing,negative
1729,Verification was straightforward,positive
1730,I want to send money internationally,neutral
1731,Verification was straightforward,positive
1732,The instructions were unclear,negative
1733,Verification was straightforward,positive
1734,I had trouble linking my bank,negative
1735,The signup process was easy,positive
1736,I want an easier way to transfer money,neutral
1737,The app was very easy to use,positive
1738,Everything worked smoothly,positive
1739,The app was very easy to use,positive
1740,I signed up to manage my spending,neutral
1741,It took too long to verify my account,negative
1742,I want an easier way to transfer money,neutral
1743,The app was very easy to use,positive
1744,It took too long to verify my account,negative
1745,I am exploring different payment apps,neutral
1746,It took too long to verify my account,negative
1747,The signup process was easy,positive
1748,Everything worked smoothly,positive
1749,I am trying this app for the first time,neutral
1750,The app was very easy to use,positive
1751,App froze during document upload,negative
1752,The app was very easy to use,positive
1753,I am trying this app for the first time,neutral
1754,I am trying this app for the first time,neutral
1755,The verification process is confusing,negative
1756,I am exploring different payment apps,neutral
1757,I had trouble linking my bank,negative
1758,I want an easier way to transfer money,neutral
1759,The verification process is confusing,negative
1760,App froze during document upload,negative
1761,I want an easier way to transfer money,neutral
1762,The verification process is confusing,negative
1763,I want to send money internationally,neutral
1764,I am exploring different payment apps,neutral
1765,I am trying this app for the first time,neutral
1766,The instructions were unclear,negative
1767,I am trying this app for the first time,neutral
1768,The app was very easy to use,positive
1769,Everything worked smoothly,positive
1770,The app was very easy to use,positive
1771,I want to send money internationally,neutral
1772,I signed up to manage my spending,neutral
1773,I want an easier way to transfer money,neutral
1774,Fast and simple onboarding,positive
1775,The app was very easy to use,positive
1776,The app was very easy to use,positive
1777,I am exploring different payment apps,neutral
1778,Verification was straightforward,positive
1779,I am trying this app for the first time,neutral
1780,I want an easier way to transfer money,neutral
1781,I am trying this app for the first time,neutral
1782,Verification was straightforward,positive
1783,Everything worked smoothly,positive
1784,I had trouble linking my bank,negative
1785,The instructions were unclear,negative
1786,I had trouble linking my bank,negative
1787,The verification process is confusing,negative
1788,Fast and simple onboarding,positive
1789,Verification was straightforward,positive
1790,I want to send money internationally,neutral
1791,I want an easier way to transfer money,neutral
1792,It took too long to verify my account,negative
1793,Verification was straightforward,positive
1794,The verification process is confusing,negative
1795,The signup process was easy,positive
1796,I had trouble linking my bank,negative
1797,The instructions were unclear,negative
1798,I am exploring different payment apps,neutral
1799,It took too long to verify my account,negative
1800,I signed up to manage my spending,neutral
1801,The signup process was easy,positive
1802,I am trying this app for the first time,neutral
1803,Verification was straightforward,positive
1804,I am exploring different payment apps,neutral
1805,I am exploring different payment apps,neutral
1806,I am exploring different payment apps,neutral
1807,I want to send money internationally,neutral
1808,It took too long to verify my account,negative
1809,The signup process was easy,positive
1810,The instructions were unclear,negative
1811,I am exploring different payment apps,neutral
1812,I signed up to manage my spending,neutral
1813,Everything worked smoothly,positive
1814,I signed up to manage my spending,neutral
1815,I am exploring different payment apps,neutral
1816,I signed up to manage my spending,neutral
1817,I am trying this app for the first time,neutral
1818,The signup process was easy,positive
1819,Fast and simple onboarding,positive
1820,Fast and simple onboarding,positive
1821,The instructions were unclear,negative
1822,I am trying this app for the first time,neutral
1823,Everything worked smoothly,positive
1824,I had trouble linking my bank,negative
1825,I signed up to manage my spending,neutral
1826,I had trouble linking my bank,negative
1827,I signed up to manage my spending,neutral
1828,The instructions were unclear,negative
1829,I am trying this app for the first time,neutral
1830,I am trying this app for the first time,neutral
1831,The app was very easy to use,positive
1832,I want an easier way to transfer money,neutral
1833,I signed up to manage my spending,neutral
1834,It took too long to verify my account,negative
1835,I am exploring different payment apps,neutral
1836,Verification was straightforward,positive
1837,I am trying this app for the first time,neutral
1838,I signed up to manage my spending,neutral
1839,Verification was straightforward,positive
1840,I am trying this app for the first time,neutral
